MMSI, 선명, 선박유형
440005700, ZIRCON,80
413219020, ZHONG_WAI_YUN_NINGBO,70
440104800, YUNG_CHANG_3_HO,52
440111750, YOUNGKWANG,0
440150210, YOUNGJIN,0
440134210, YONGSINHO,30
352002215, YONG_YUE_11,70
440118750, YONG_KWANG,52
538009586, YOKOHAMA_TRADER,70
441712000, YN_YEOSU,80
440076890, YEONG_ROO,80
273445310, YANTAR,30
352001218, XIN_LONG_YUN_89,70
413341840, XIN_HAI_ZHOU_7,70
440409260, WOLWOO,80
440201540, WJRCG150,52
338931000, US_GOV_VESSEL,35
636022595, UNISON_SAGE,70
2416240, ULTIMATE_1,30
273416240, ULTIMATE_1,30
442003080, UAIS_TEST_HO,70
374314000, TRUST_JR,79
667002156, TRANSIT_SEDANKA,79
456789123, TEST,70
440108200, TAMGU23,90
441622000, T/S_HANWOORI,90
440119000, SUNNY_PALM,79
356481000, SUNNY_ACACIA,70
440713100, SUNJIN_NO702,52
440100580, SUNJIN_NO3,52
440152850, SUNJIN_NO.5,52
440119040, SUNG_WOO_YJ,70
440117490, SUNG_JO_2,0
457454000, STAR_OCEAN,70
440189340, SOOYONGHO,0
636019995, SOLAR_KAREN,80
440202770, SKYCHEMI,83
354159000, SK_SUNRISE,80
440122610, SINJUNG_701,0
440031780, SINJEONG_3HO,80
352002071, SILVER,70
440148750, SHINSUNG3HO,0
441163000, SEONG_HEE,60
440117410, SAMYANG13,0
440328640, SAMWOO/TUG,52
440106310, SAMWON,80
440016540, SAMHO_T-9,52
440152720, SAM_SUNG_HO,80
431736000, QUEEN_BEETLE,40
667001311, PUSHUN,70
440111230, PILOT_DONGBAEKSOEM,50
273290980, PERSEY,30
2290980, PERSEY,30
440233000, PANSTAR_TSUSHIMA_LIN,60
440655000, PANCON_CHAMPION,70
563157400, PACIFIC_BUSAN,71
440108520, P-71,0
671195100, OCEAN_QUEEN_SV,70
369234000, OCEAN_GUARDIAN,98
440038740, NO8WOOJINHO,81
441371000, NO.99_OYANG,30
440102760, NO.8_MINSUNG,80
440954000, NO.632_DONG_WON,30
440115870, NO.5_EUNHASU,37
440125000, NO.313_DAE_HWA,30
440132580, NO.307_DAE_RYONG,52
440119020, NO.3_BOSUNG,80
440120270, NO.15_DAESHIN,80
4401060, NO.107_CHUNG_RYONG,52
440107360, NO.107_CHUNG_RYONG,52
371542000, NO.1_POHAH,70
636020879, NEW_FIRST,70
357693000, NEW_DRAGON,70
440151030, NEW_DONGSIN,80
440102180, NAMJINHO,0
440151680, MYUN_JIN,0
352796000, MV.KHANA,70
533131059, MTT_SENARI,79
440119800, META_NO3,52
538004238, MELODIA,80
341603000, MED_SEA_EAGLE,70
529440000, MARIRAOI,30
538009596, MANILA_VOYAGER,74
440150000, MANDALA,80
357619000, LUCKY_GATE,70
247285700, LIBERTY_K,70
273398450, LAZURIT,30
2398450, LAZURIT,30
440108720, KYEUNG_UN,52
440011970, KUMYONG_2200,0
440127670, KUKHWA_NO.1,52
440136380, KUKDONG1HO,0
440110910, KOREA_NO.7,52
440151610, KOREA_NO.2,52
636017768, KMTC_LAEM_CHABANG,74
440110750, KEUMSUNG_HO,80
441347000, KEUM_YANG_POST,70
440200113, KCG_BANGJE18,0
273210230, KAYUM,30
2210230, KAYUM,30
273569100, KAMLAYN,30
2569100, KAMLAYN,30
440150140, JONG_YOUNG_5003,53
370966000, JI_PENG,70
352001930, JI_BAO,70
440605000, JEMIN3,0
440124120, JE23HEEYOUNGHO,30
440502680, JE17BORUNHO,0
440406070, IL_HYUN_JUNG,70
440028270, HYOP_SUNG_NO21,52
440002690, HY_BUSAN,80
440166000, HONGKONG_VOYAGER,70
440009260, HONG_JINHO,80
352980825, HONG_JIA_17,70
412953000, HENG_YU,70
4412000, HANNARA,90
441273000, HANNARA,90
440053240, HANGMAN_JEONGHWA_NO2,54
4408000, HANBANDO,90
440873000, HANBANDO,90
440956000, HANBADA,90
374318000, HAKATA_QUEEN,70
440119880, HAISUNG,0
440048000, HAEYANG2000,34
440114300, HAEYANG_1HO,80
440314380, HA_GEN_HO,0
440010800, GWANG_SUNG,0
440048210, GREEN_HO,80
636019834, GREAT_OCEAN,70
372435000, GRACE_PIONEER,70
352001120, GOLDEN_GRACE_HANA,80
477712200, GNG_CONCORD3,70
477969100, GLORIWIND,80
477664300, GLORISEA,80
440119210, GEUM_SHIN_102,52
440085030, GANG_IL_HO,80
636022523, EVER_OMNI,70
440333230, EUNSEONGHO,0
6716000, ELGA,79
671736000, ELGA,79
312949000, EAST_STAR,0
440065000, DOOWOO_FAMILY,71
441236000, DONGJIN_FORTUNE,70
440346000, DONGJIN_ENTERPRISE,70
440190820, DONGBANG_ACE,80
440015820, DONG_YOUNG,30
440147330, DONG_MYUNG,80
4401430, DONG_MYUNG,80
440101990, DONG_BANG_7HO,80
440072080, DL_RUBY,89
636021801, DL_LILY,80
440116410, DL_DIAMOND,83
441999000, DK_IMAN,70
440054000, DH_5,70
440102060, DEUKJIN,80
2215390, DANIDIN,90
273215390, DANIDIN,90
440105720, DAE_JEONG,80
440051540, D-01,0
248431000, CMA_CGM_RACINE,71
229488000, CMA_CGM_CHOPIN,71
440001850, CHANG_YOUNG5,52
440881000, CHANG_SUNG_102,52
440135870, BUSANIVDM,51
440063450, BUSAN201HO,37
357138000, BUENA_AMISTAD,80
2214780, BOSS,70
273214780, BOSS,70
440147120, BOOKYEONGHO,0
440300670, BO_HAE_1_HO,33
457444000, BASIA,70
373189000, ATAYAL_MARINER,70
441544000, ARO_LAKE,83
273350580, ARKADIJA,70
440103440, A-ONE,80
2414670, ANDREY_PERVOZVANNIY,89
273414670, ANDREY_PERVOZVANNIY,89
341769000, AMO_GRANDE,70
677060800, AL_FILK,70
354138000, ACACIA_MING,74
374629000, A_BOTE,70
440125440, 96.DONGBANG,80
440100774, 95_DEOK_SUNG,52
440310220, 77_CHUNG_HAE,80
440886000, 725_ORYONG_________0,30
440130950, 703YONGDUK,0
440130940, 702YONGDUK,0
440104560, 53_HEE_YEONG,30
440104570, 51_HEE_YEONG,0
440105680, 508JEILHO,0
440106080, 505_SAM_KWANG,0
440184720, 5_YONG_SEONG,52
440105860, 3SAMYANG,52
440108790, 3MYEONGGWANG,80
440571571, 30A_TEST,0
440136110, 309_HAN_CHANG,30
440145090, 305_HAN_CHANG,30
440328880, 209HYUNDAI,80
441206000, 207_GEUM_HAE,30
441272000, 206_GEUM_HAE,30
440105770, 153_EUN_HYE_HO,52
440052560, 15_YOUNG_SIN,52
440331080, 13DAEYANG,80
440103790, 13DAESIN,80
440147870, 102_SAMYANGCN,200
440104470, 101_YOUNG_JIN,80
440150840, 1001_JONG_YEONG,31
440100886,120,0
